,feature_name,feature_weight
313,lip_P1_Cer_Cer(d18:1/14:0)_low,0.5840970748821657
131,lip_P1_TG [NL]_TG(51:2) [NL-15:0]_low,0.4326024149955683
314,lip_P1_Cer_Cer(d18:1/16:0)_high,0.4095928688739615
299,lip_P1_Cer_Cer(d17:1/16:0)_low,0.3360476274368863
43,lip_P1_TG(SIM)_TG(54:2) [SIM]_low,0.3309831560113024
189,lip_P1_TG [NL]_TG(54:6) [NL-20:5]_low,0.2996956797602923
368,lip_P1_Cer_Cer(d19:1/24:0)_high,0.2959575644506628
280,lip_P1_TG(O) [NL]_TG(O-54:4) [NL-17:1]_high,0.2947625237638661
115,lip_P1_TG [NL]_TG(50:3) [NL-16:1]_low,0.29336169510631793
237,lip_P1_TG(O)_TG(O-52:2) [SIM]_low,0.28329232078685723
253,lip_P1_TG(O) [NL]_TG(O-50:2) [NL-16:1]_low,0.2373032070655128
398,lip_P1_Cer_Cer(m18:1/22:0)_high,0.22278681915285267
326,lip_P1_Cer_Cer(d18:1/22:0)_high,0.21827849848476943
98,lip_P1_TG [NL]_TG(50:1) [NL-16:0]_high,0.20116249154315147
161,lip_P1_TG [NL]_TG(53:2) [NL-17:1]_low,0.19497883856130438
402,lip_P1_Cer_Cer(m18:1/24:0)_high,0.19322551564072632
120,lip_P1_TG [NL]_TG(50:4) [NL-14:0]_high,0.1914945558522901
276,lip_P1_TG(O) [NL]_TG(O-54:3) [NL-17:1]_high,0.1873677610546341
212,lip_P1_TG [NL]_TG(56:8) [NL-20:4]_high,0.1686002124155675
129,lip_P1_TG [NL]_TG(51:1) [NL-17:0]_low,0.1497214926692732
196,lip_P1_TG [NL]_TG(56:6) [NL-20:4]_high,0.1450929571816038
216,lip_P1_TG [NL]_TG(56:8) [NL-22:6]_high,0.14236981698661055
316,lip_P1_Cer_Cer(d18:1/17:0)_high,0.1403504000016706
185,lip_P1_TG [NL]_TG(54:6) [NL-18:3]_low,0.13971340801822524
191,lip_P1_TG [NL]_TG(54:6) [NL-22:6]_low,0.13885986471294984
255,lip_P1_TG(O) [NL]_TG(O-50:2) [NL-18:1]_low,0.13836650269086298
107,lip_P1_TG [NL]_TG(50:2) [NL-18:1]_low,0.13563500377587095
338,lip_P1_Cer_Cer(d18:2/16:0)_high,0.13439672800449953
37,lip_P1_TG(SIM)_TG(53:2) [SIM]_low,0.13394617434563094
8,lip_P1_TG(SIM)_TG(49:1) [SIM]_high,0.1291431504583189
74,lip_P1_TG [NL]_TG(48:1) [NL-18:1]_high,0.12534832800045992
92,lip_P1_TG [NL]_TG(49:1) [NL-17:1]_high,0.12135560890798894
275,lip_P1_TG(O) [NL]_TG(O-54:2) [NL-18:1]_low,0.12015024420912197
209,lip_P1_TG [NL]_TG(56:7) [NL-22:5](b)_low,0.11786687890424934
207,lip_P1_TG [NL]_TG(56:7) [NL-22:5](a)_low,0.11786687890424934
124,lip_P1_TG [NL]_TG(50:4) [NL-20:4]_high,0.11098504300278729
94,lip_P1_TG [NL]_TG(50:0) [NL-18:0]_high,0.10171174572002854
227,lip_P1_TG(O)_TG(O-50:1) [SIM]_low,0.09873981916398945
132,lip_P1_TG [NL]_TG(51:2) [NL-17:0]_high,0.09527487287353899
134,lip_P1_TG [NL]_TG(51:2) [NL-17:1]_high,0.09527487287353899
