,feature_name,feature_weight,relative_effects_ratio
16,lip_Cer_Cer(d18:1/17:0),-1.133,23.46%
25,lip_Cer_Cer(d18:1/26:0),-0.836,17.30%
26,lip_Cer_Cer(d18:2/14:0),-0.634,13.12%
53,lip_Cer_Cer(m18:0/24:0),-0.362,7.48%
52,lip_Cer_Cer(m18:0/23:0),-0.358,7.42%
1,lip_Cer_Cer(d16:1/18:0),-0.319,6.61%
36,lip_Cer_Cer(d18:2/26:0),-0.268,5.54%
54,lip_Cer_Cer(m18:0/24:1),-0.224,4.64%
4,lip_Cer_Cer(d16:1/23:0),-0.196,4.06%
8,lip_Cer_Cer(d17:1/18:0),-0.147,3.04%
2,lip_Cer_Cer(d16:1/20:0),-0.118,2.45%
18,lip_Cer_Cer(d18:1/19:0),-0.087,1.81%
50,lip_Cer_Cer(m18:0/20:0),-0.051,1.05%
0,lip_Cer_Cer(d16:1/16:0),-0.05,1.03%
15,lip_Cer_Cer(d18:1/16:0),-0.028,0.57%
12,lip_Cer_Cer(d17:1/24:0),-0.021,0.43%
33,lip_Cer_Cer(d18:2/23:0),0,0
34,lip_Cer_Cer(d18:2/24:0),0,0
35,lip_Cer_Cer(d18:2/24:1),0,0
60,lip_Cer_Cer(m18:1/24:1),0,0
