,feature_name,feature_weight,relative_effects_ratio
122,gene_AR_Amp,-0.9397258798569079,0.07487175192300867
123,gene_RB1_Del,-0.8503851523305699,0.06775361573951691
88,lip_Cer_Cer(d19:1/26:0)_high,-0.6979865734940355,0.055611406151966185
85,lip_Cer_Cer(d19:1/24:0)_low,-0.5552936223254905,0.044242483075504685
47,lip_Cer_Cer(d18:1/24:0)_low,-0.5352825052116638,0.042648116645501874
68,lip_Cer_Cer(d18:2/24:0)_high,-0.5331366730713419,0.04247714954209182
33,lip_Cer_Cer(d18:1/17:0)_low,-0.504830655878658,0.040221894959232236
92,lip_Cer_Cer(d20:1/23:0)_high,-0.49998748274229865,0.039836019816961075
124,gene_TP53_SNP,-0.4850569160702162,0.03864644133678522
43,lip_Cer_Cer(d18:1/22:0)_low,-0.46539877575383937,0.037080197992226505
48,lip_Cer_Cer(d18:1/24:1)_high,-0.4520028511599551,0.03601289063752711
77,lip_Cer_Cer(d19:1/18:0)_low,-0.4322494594811052,0.03443905823265382
78,lip_Cer_Cer(d19:1/20:0)_high,-0.41675790121481154,0.03320478328899537
28,lip_Cer_Cer(d18:1/14:0)_high,-0.41002559969633123,0.03266839366733325
71,lip_Cer_Cer(d18:2/24:1)_low,-0.4049515803450711,0.032264126075833115
11,lip_Cer_Cer(d16:1/24:0)_low,-0.36763390118678935,0.029290876029014406
9,lip_Cer_Cer(d16:1/23:0)_low,-0.3593883457853036,0.028633919365671827
103,lip_Cer_Cer(m18:0/22:0)_low,-0.3435372058750003,0.02737099510179836
22,lip_Cer_Cer(d17:1/23:0)_high,-0.34092693973286825,0.027163024667828297
51,lip_Cer_Cer(d18:1/26:0)_low,-0.33922881435944774,0.02702772816869148
121,lip_Cer_Cer(m18:1/24:1)_low,-0.31358188132933756,0.0249843335484339
36,lip_Cer_Cer(d18:1/19:0)_high,-0.31177533365558724,0.02484039860722879
3,lip_Cer_Cer(d16:1/18:0)_low,-0.2936489688150557,0.02339619799437254
44,lip_Cer_Cer(d18:1/23:0)_high,-0.2856871401679921,0.02276184698617511
82,lip_Cer_Cer(d19:1/23:0)_high,-0.2757883179395351,0.021973167885061227
118,lip_Cer_Cer(m18:1/24:0)_high,-0.2523949437597982,0.020109323389798334
110,lip_Cer_Cer(m18:1/18:0)_high,-0.2386874245985087,0.019017190038868134
6,lip_Cer_Cer(d16:1/22:0)_high,-0.2178722088245764,0.017358757824691946
0,lip_Cer_Cer(d16:1/16:0)_high,-0.21447502659617362,0.01708809061152447
74,lip_Cer_Cer(d19:1/16:0)_high,-0.21344244532159135,0.01700582069570323
