,feature_name,feature_weight,relative_effects_ratio
26,lip_Cer(d18:2/14:0),1.206,26.71%
25,lip_Cer(d18:1/26:0),0.651,14.42%
51,lip_Cer(m18:0/22:0),0.584,12.94%
50,lip_Cer(m18:0/20:0),0.494,10.93%
53,lip_Cer(m18:0/24:0),0.469,10.39%
52,lip_Cer(m18:0/23:0),0.458,10.15%
1,lip_Cer(d16:1/18:0),0.252,5.58%
16,lip_Cer(d18:1/17:0),0.149,3.30%
54,lip_Cer(m18:0/24:1),0.139,3.08%
42,lip_Cer(d19:1/24:0),0.071,1.57%
55,lip_Cer(m18:1/18:0),0.041,0.91%
28,lip_Cer(d18:2/17:0),0,0
47,lip_Cer(d20:1/24:0),0,0
22,lip_Cer(d18:1/23:0),0,0
21,lip_Cer(d18:1/22:0),0,0
56,lip_Cer(m18:1/20:0),0,0
29,lip_Cer(d18:2/18:0),0,0
23,lip_Cer(d18:1/24:0),0,0
36,lip_Cer(d18:2/26:0),0,0
40,lip_Cer(d19:1/22:0),0,0
