,feature_name,feature_weight,relative_effects_ratio
53,gene_CHEK2_SNP,-1.127,13.59%
38,lip_DG_DG(16:0_22:6)_high,-0.852,10.27%
50,gene_ATM_SNP,-0.727,8.76%
37,lip_DG_DG(18:2_20:4)_low,-0.61,7.36%
21,lip_DG_DG(18:1_18:2)_low,-0.604,7.28%
11,lip_DG_DG(16:1_18:1)_low,-0.52,6.27%
30,lip_DG_DG(18:0_20:4)_high,-0.4,4.82%
29,lip_DG_DG(18:1_20:3)_low,-0.387,4.66%
16,lip_DG_DG(18:1_18:1)_high,-0.367,4.43%
12,lip_DG_DG(16:0_18:2)_high,-0.363,4.38%
7,lip_DG_DG(14:0_18:2)_low,-0.362,4.36%
49,lip_DG_DG(18:2_22:6)_low,-0.341,4.11%
45,lip_DG_DG(18:0_22:6)_low,-0.314,3.79%
47,lip_DG_DG(18:1_22:6)_low,-0.277,3.34%
4,lip_DG_DG(16:0_16:1)_high,-0.224,2.70%
14,lip_DG_DG(18:0_18:1)_high,-0.216,2.61%
24,lip_DG_DG(18:1_18:3)_high,-0.179,2.16%
32,lip_DG_DG(18:1_20:4)_high,-0.155,1.87%
41,lip_DG_DG(18:1_20:5)_low,-0.154,1.86%
1,lip_DG_DG(14:0_16:0)_low,-0.117,1.41%
