Lipid name ,Lipid type
Sph(d16:1),Sphingoid(Sph)
Sph(d18:1),Sphingoid(Sph)
Sph(d18:2),Sphingoid(Sph)
Cer(d16:1/16:0),Ceramide(Cer)
Cer(d16:1/18:0),Ceramide(Cer)
Cer(d16:1/20:0),Ceramide(Cer)
Cer(d16:1/22:0),Ceramide(Cer)
Cer(d16:1/23:0),Ceramide(Cer)
Cer(d16:1/24:0),Ceramide(Cer)
Cer(d16:1/24:1),Ceramide(Cer)
Cer(d17:1/16:0),Ceramide(Cer)
Cer(d17:1/18:0),Ceramide(Cer)
Cer(d17:1/20:0),Ceramide(Cer)
Cer(d17:1/22:0),Ceramide(Cer)
Cer(d17:1/23:0),Ceramide(Cer)
Cer(d17:1/24:0),Ceramide(Cer)
Cer(d17:1/24:1),Ceramide(Cer)
Cer(d18:1/14:0),Ceramide(Cer)
Cer(d18:1/16:0),Ceramide(Cer)
Cer(d18:1/17:0),Ceramide(Cer)
Cer(d18:1/18:0),Ceramide(Cer)
Cer(d18:1/19:0),Ceramide(Cer)
Cer(d18:1/20:0),Ceramide(Cer)
Cer(d18:1/21:0),Ceramide(Cer)
Cer(d18:1/22:0),Ceramide(Cer)
Cer(d18:1/23:0),Ceramide(Cer)
Cer(d18:1/24:0),Ceramide(Cer)
Cer(d18:1/24:1),Ceramide(Cer)
Cer(d18:1/26:0),Ceramide(Cer)
Cer(d18:2/14:0),Ceramide(Cer)
Cer(d18:2/16:0),Ceramide(Cer)
Cer(d18:2/17:0),Ceramide(Cer)
Cer(d18:2/18:0),Ceramide(Cer)
Cer(d18:2/20:0),Ceramide(Cer)
Cer(d18:2/21:0),Ceramide(Cer)
Cer(d18:2/22:0),Ceramide(Cer)
Cer(d18:2/23:0),Ceramide(Cer)
Cer(d18:2/24:0),Ceramide(Cer)
Cer(d18:2/24:1),Ceramide(Cer)
Cer(d18:2/26:0),Ceramide(Cer)
Cer(d19:1/16:0),Ceramide(Cer)
Cer(d19:1/18:0),Ceramide(Cer)
Cer(d19:1/20:0),Ceramide(Cer)
Cer(d19:1/22:0),Ceramide(Cer)
Cer(d19:1/23:0),Ceramide(Cer)
Cer(d19:1/24:0),Ceramide(Cer)
Cer(d19:1/24:1),Ceramide(Cer)
Cer(d19:1/26:0),Ceramide(Cer)
Cer(d20:1/22:0),Ceramide(Cer)
Cer(d20:1/23:0),Ceramide(Cer)
Cer(d20:1/24:0),Ceramide(Cer)
Cer(d20:1/24:1),Ceramide(Cer)
Cer(d20:1/26:0),Ceramide(Cer)
Cer(m18:0/20:0),Ceramide(Cer)
Cer(m18:0/22:0),Ceramide(Cer)
Cer(m18:0/23:0),Ceramide(Cer)
Cer(m18:0/24:0),Ceramide(Cer)
Cer(m18:0/24:1),Ceramide(Cer)
Cer(m18:1/18:0),Ceramide(Cer)
Cer(m18:1/20:0),Ceramide(Cer)
Cer(m18:1/22:0),Ceramide(Cer)
Cer(m18:1/23:0),Ceramide(Cer)
Cer(m18:1/24:0),Ceramide(Cer)
Cer(m18:1/24:1),Ceramide(Cer)
AC(12:0),Acylcarnitine(AC)
AC(13:0),Acylcarnitine(AC)
AC(14:0),Acylcarnitine(AC)
AC(14:1),Acylcarnitine(AC)
AC(14:2),Acylcarnitine(AC)
AC(15:0) (a),Acylcarnitine(AC)
AC(15:0) (b),Acylcarnitine(AC)
AC(16:0),Acylcarnitine(AC)
AC(16:1),Acylcarnitine(AC)
AC(17:0) (a),Acylcarnitine(AC)
AC(17:0) (b),Acylcarnitine(AC)
AC(18:0),Acylcarnitine(AC)
AC(18:1),Acylcarnitine(AC)
AC(18:2),Acylcarnitine(AC)
DG(14:0_16:0),Diacylglycerol (DG)
DG(16:0_16:0),Diacylglycerol (DG)
DG(16:0_16:1),Diacylglycerol (DG)
DG(14:0_18:2),Diacylglycerol (DG)
DG(16:0_18:1),Diacylglycerol (DG)
DG(16:1_18:1),Diacylglycerol (DG)
DG(16:0_18:2),Diacylglycerol (DG)
DG(18:0_18:1),Diacylglycerol (DG)
DG(18:1_18:1),Diacylglycerol (DG)
DG(18:0_18:2),Diacylglycerol (DG)
DG(18:1_18:2),Diacylglycerol (DG)
DG(18:2_18:2),Diacylglycerol (DG)
DG(18:1_18:3),Diacylglycerol (DG)
DG(16:0_20:4),Diacylglycerol (DG)
DG(18:1_20:3),Diacylglycerol (DG)
DG(18:0_20:4),Diacylglycerol (DG)
DG(18:1_20:4),Diacylglycerol (DG)
DG(16:0_22:5),Diacylglycerol (DG)
DG(18:2_20:4),Diacylglycerol (DG)
DG(16:0_22:6),Diacylglycerol (DG)
DG(18:1_20:5),Diacylglycerol (DG)
DG(18:1_22:5),Diacylglycerol (DG)
DG(18:0_22:6),Diacylglycerol (DG)
DG(18:1_22:6),Diacylglycerol (DG)
DG(18:2_22:6),Diacylglycerol (DG)
TG(48:0) [SIM],Triacylglycerol (TG)
TG(48:1) [SIM],Triacylglycerol (TG)
TG(48:2) [SIM],Triacylglycerol (TG)
TG(48:3) [SIM],Triacylglycerol (TG)
TG(49:1) [SIM],Triacylglycerol (TG)
TG(50:0) [SIM],Triacylglycerol (TG)
TG(50:1) [SIM],Triacylglycerol (TG)
TG(50:2) [SIM],Triacylglycerol (TG)
TG(50:3) [SIM],Triacylglycerol (TG)
TG(50:4) [SIM],Triacylglycerol (TG)
TG(51:0) [SIM],Triacylglycerol (TG)
TG(51:1) [SIM],Triacylglycerol (TG)
TG(51:2) [SIM],Triacylglycerol (TG)
TG(52:1) [SIM],Triacylglycerol (TG)
TG(52:2) [SIM],Triacylglycerol (TG)
TG(52:3) [SIM],Triacylglycerol (TG)
TG(52:4) [SIM],Triacylglycerol (TG)
TG(52:5) [SIM],Triacylglycerol (TG)
TG(53:2) [SIM],Triacylglycerol (TG)
TG(54:0) [SIM],Triacylglycerol (TG)
TG(54:1) [SIM],Triacylglycerol (TG)
TG(54:2) [SIM],Triacylglycerol (TG)
TG(54:3) [SIM],Triacylglycerol (TG)
TG(54:4) [SIM],Triacylglycerol (TG)
TG(54:5) [SIM],Triacylglycerol (TG)
TG(54:6) [SIM],Triacylglycerol (TG)
TG(54:7) [SIM],Triacylglycerol (TG)
TG(56:6) [SIM],Triacylglycerol (TG)
TG(56:7) [SIM],Triacylglycerol (TG)
TG(56:8) [SIM],Triacylglycerol (TG)
TG(56:9) [SIM],Triacylglycerol (TG)
TG(58:10) [SIM],Triacylglycerol (TG)
TG(58:8) [SIM],Triacylglycerol (TG)
TG(58:9) [SIM],Triacylglycerol (TG)
TG(48:0) [NL-16:0],Triacylglycerol (TG)
TG(48:0) [NL-18:0],Triacylglycerol (TG)
TG(48:1) [NL-16:1],Triacylglycerol (TG)
TG(48:1) [NL-18:1],Triacylglycerol (TG)
TG(48:2) [NL-14:0],Triacylglycerol (TG)
TG(48:2) [NL-14:1],Triacylglycerol (TG)
TG(48:2) [NL-16:1],Triacylglycerol (TG)
