feature_name,feature_weight
gene_P2_AR_Amp,-1.075
gene_P2_RB1_Del,-0.83
lip_P2_Acylcarnitine_AC(15:0) (a)_high,-0.807
lip_P2_Acylcarnitine_AC(15:0) (a)_low,0.794
lip_P2_Cer_Cer(d19:1/26:0)_high,-0.71
lip_P2_Cer_Cer(d19:1/26:0)_low,0.696
gene_P2_TP53_SNP,-0.669
lip_P2_Cer_Cer(m18:0/24:0)_low,-0.629
lip_P2_Cer_Cer(m18:0/24:0)_high,0.616
lip_P2_Cer_Cer(d18:2/24:0)_high,-0.601
lip_P2_Cer_Cer(d18:2/24:0)_low,0.588
lip_P2_Acylcarnitine_AC(14:2)_high,-0.58
lip_P2_Acylcarnitine_AC(14:2)_low,0.567
lip_P2_Cer_Cer(d18:1/22:0)_low,-0.529
lip_P2_Cer_Cer(d18:1/22:0)_high,0.515
lip_P2_Cer_Cer(d18:2/24:1)_low,-0.51
lip_P2_Cer_Cer(d18:2/24:1)_high,0.496
lip_P2_Cer_Cer(d18:1/17:0)_low,-0.481
lip_P2_Cer_Cer(d19:1/22:0)_low,-0.476
lip_P2_Cer_Cer(d16:1/24:0)_low,-0.471
lip_P2_Cer_Cer(d18:1/17:0)_high,0.468
lip_P2_Cer_Cer(d19:1/22:0)_high,0.463
lip_P2_Cer_Cer(d16:1/24:0)_high,0.458
lip_P2_Cer_Cer(d18:1/24:0)_low,-0.457
lip_P2_Cer_Cer(m18:1/24:0)_high,-0.451
lip_P2_Cer_Cer(d18:1/24:0)_high,0.444
lip_P2_Cer_Cer(m18:1/24:0)_low,0.439
lip_P2_Cer_Cer(m18:1/24:1)_low,-0.435
lip_P2_Cer_Cer(m18:1/24:1)_high,0.422
lip_P2_Cer_Cer(d16:1/20:0)_high,-0.406
lip_P2_Cer_Cer(d16:1/20:0)_low,0.392
lip_P2_Cer_Cer(d19:1/24:0)_low,-0.38
lip_P2_Acylcarnitine_AC(13:0)_low,-0.371
lip_P2_Acylcarnitine_AC(17:0) (a)_low,-0.371
lip_P2_Cer_Cer(d16:1/24:1)_high,-0.371
lip_P2_Cer_Cer(d19:1/24:0)_high,0.367
lip_P2_Acylcarnitine_AC(13:0)_high,0.358
lip_P2_Acylcarnitine_AC(17:0) (a)_high,0.358
lip_P2_Cer_Cer(d16:1/24:1)_low,0.358
lip_P2_Cer_Cer(d17:1/24:1)_high,-0.351
lip_P2_Cer_Cer(d18:1/20:0)_high,-0.347
lip_P2_Cer_Cer(d18:1/24:1)_high,-0.338
lip_P2_Cer_Cer(d17:1/24:1)_low,0.338
lip_P2_Cer_Cer(d18:1/14:0)_high,-0.335
lip_P2_Cer_Cer(d18:1/20:0)_low,0.333
lip_P2_Cer_Cer(d18:1/24:1)_low,0.325
lip_P2_Cer_Cer(d18:1/14:0)_low,0.322
lip_P2_Cer_Cer(d20:1/23:0)_high,-0.303
lip_P2_Cer_Cer(d20:1/23:0)_low,0.29
lip_P2_Acylcarnitine_AC(15:0) (b)_high,-0.29
lip_P2_Cer_Cer(d18:1/26:0)_low,-0.285
lip_P2_Acylcarnitine_AC(15:0) (b)_low,0.277
lip_P2_Cer_Cer(d18:1/26:0)_high,0.272
lip_P2_Acylcarnitine_AC(14:1)_low,-0.269
lip_P2_Cer_Cer(m18:0/22:0)_low,-0.26
lip_P2_Cer_Cer(d18:1/23:0)_high,-0.26
lip_P2_Acylcarnitine_AC(14:1)_high,0.256
lip_P2_Cer_Cer(m18:0/22:0)_high,0.247
lip_P2_Cer_Cer(d18:1/23:0)_low,0.247
lip_P2_Cer_Cer(d18:2/21:0)_low,-0.232
lip_P2_Cer_Cer(d20:1/24:0)_low,-0.23
lip_P2_Cer_Cer(d18:1/18:0)_low,-0.224
lip_P2_Cer_Cer(d17:1/23:0)_high,-0.221
lip_P2_Cer_Cer(d18:2/21:0)_high,0.219
lip_P2_Cer_Cer(d20:1/24:0)_high,0.216
lip_P2_Cer_Cer(d18:1/18:0)_high,0.211
lip_P2_Cer_Cer(d17:1/23:0)_low,0.208
lip_P2_Cer_Cer(m18:1/23:0)_high,-0.182
lip_P2_Cer_Cer(d20:1/26:0)_low,-0.174
lip_P2_Cer_Cer(d18:2/22:0)_low,-0.172
lip_P2_Cer_Cer(m18:1/23:0)_low,0.169
lip_P2_Cer_Cer(d17:1/16:0)_high,-0.167
lip_P2_Cer_Cer(d20:1/26:0)_high,0.161
lip_P2_Cer_Cer(d16:1/22:0)_high,-0.16
lip_P2_Cer_Cer(d18:2/22:0)_high,0.159
lip_P2_Acylcarnitine_AC(16:0)_low,-0.157
lip_P2_Cer_Cer(m18:1/20:0)_high,-0.153
lip_P2_Cer_Cer(d17:1/16:0)_low,0.153
lip_P2_Cer_Cer(d18:2/26:0)_high,-0.153
