feature_name,feature_weight
gene_P2_RB1_Del,2.46
lip_P2_Cer_Cer(d18:1/17:0)_high,-0.79
lip_P2_Cer_Cer(d17:1/18:0)_high,-0.742
lip_P2_Cer_Cer(d18:1/17:0)_low,0.737
lip_P2_Cer_Cer(m18:1/18:0)_low,-0.719
lip_P2_Cer_Cer(d17:1/18:0)_low,0.689
lip_P2_Sph_Sph(d16:1)_high,-0.685
lip_P2_Cer_Cer(m18:1/18:0)_high,0.666
lip_P2_Cer_Cer(d18:1/20:0)_low,-0.659
lip_P2_Cer_Cer(m18:0/24:0)_high,-0.64
lip_P2_Sph_Sph(d16:1)_low,0.632
lip_P2_Cer_Cer(d18:1/20:0)_high,0.606
lip_P2_Cer_Cer(d19:1/24:0)_high,-0.597
lip_P2_Cer_Cer(m18:0/24:0)_low,0.587
lip_P2_Cer_Cer(d18:1/24:1)_low,-0.569
lip_P2_Cer_Cer(d19:1/24:0)_low,0.544
lip_P2_Cer_Cer(d17:1/24:1)_low,-0.54
lip_P2_Cer_Cer(m18:1/22:0)_low,-0.536
lip_P2_Cer_Cer(d19:1/26:0)_low,-0.522
lip_P2_Cer_Cer(d18:1/24:1)_high,0.516
lip_P2_Cer_Cer(d16:1/22:0)_high,-0.489
lip_P2_Cer_Cer(d17:1/24:1)_high,0.487
lip_P2_Cer_Cer(m18:1/22:0)_high,0.483
lip_P2_Cer_Cer(d20:1/23:0)_low,-0.478
lip_P2_Cer_Cer(d19:1/26:0)_high,0.469
lip_P2_Cer_Cer(m18:0/22:0)_high,-0.454
lip_P2_Sph_Sph(d18:1)_low,-0.448
lip_P2_Cer_Cer(d16:1/24:1)_high,-0.446
lip_P2_Cer_Cer(d16:1/22:0)_low,0.436
lip_P2_Cer_Cer(d20:1/22:0)_low,-0.429
lip_P2_Cer_Cer(d20:1/23:0)_high,0.425
gene_P2_AR_Amp,0.424
lip_P2_Cer_Cer(m18:0/22:0)_low,0.401
lip_P2_Sph_Sph(d18:1)_high,0.395
lip_P2_Cer_Cer(d16:1/24:1)_low,0.393
lip_P2_Cer_Cer(d16:1/20:0)_high,-0.39
lip_P2_Cer_Cer(d20:1/22:0)_high,0.376
lip_P2_Cer_Cer(d20:1/26:0)_high,-0.371
lip_P2_Cer_Cer(d18:1/24:0)_high,-0.36
lip_P2_Cer_Cer(d16:1/20:0)_low,0.336
lip_P2_Cer_Cer(d19:1/22:0)_low,-0.331
lip_P2_Cer_Cer(d19:1/24:1)_high,-0.328
lip_P2_Cer_Cer(d18:1/16:0)_low,-0.323
lip_P2_Cer_Cer(d20:1/26:0)_low,0.318
lip_P2_Cer_Cer(d16:1/23:0)_low,-0.317
lip_P2_Cer_Cer(d16:1/24:0)_low,-0.307
lip_P2_Cer_Cer(d18:1/24:0)_low,0.307
lip_P2_Cer_Cer(d18:1/26:0)_high,-0.306
lip_P2_Cer_Cer(d18:1/18:0)_high,-0.291
lip_P2_Cer_Cer(d19:1/22:0)_high,0.278
lip_P2_Cer_Cer(d19:1/24:1)_low,0.275
lip_P2_Cer_Cer(d18:2/26:0)_high,-0.275
lip_P2_Cer_Cer(d18:1/16:0)_high,0.27
lip_P2_Cer_Cer(d16:1/23:0)_high,0.264
lip_P2_Cer_Cer(m18:0/20:0)_high,-0.263
lip_P2_Cer_Cer(d19:1/20:0)_high,-0.259
lip_P2_Cer_Cer(d16:1/24:0)_high,0.255
lip_P2_Cer_Cer(d18:1/26:0)_low,0.253
lip_P2_Cer_Cer(d18:2/24:1)_high,-0.251
lip_P2_Cer_Cer(d18:1/18:0)_low,0.239
lip_P2_Cer_Cer(d19:1/16:0)_low,-0.235
lip_P2_Cer_Cer(d18:1/21:0)_high,-0.227
lip_P2_Cer_Cer(m18:0/23:0)_high,-0.226
lip_P2_Cer_Cer(d18:2/21:0)_low,-0.224
lip_P2_Cer_Cer(d18:2/26:0)_low,0.222
